min_size_pct,min_bars_in,rr_ratio,ht_amplitude,ht_channel,return,dd,wr,pf,sharpe,trades
7.0,10,2.5,2,3.0,282.33,-25.0,60.7,3.463,1.036,28
7.0,10,2.5,2,2.5,282.33,-25.0,60.7,3.463,1.036,28
7.0,10,2.5,2,1.5,282.33,-25.0,60.7,3.463,1.036,28
7.0,10,2.5,2,2.0,282.33,-25.0,60.7,3.463,1.036,28
7.0,8,2.5,2,2.5,274.54,-23.4,58.6,3.284,1.015,29
7.0,8,2.5,2,2.0,274.54,-23.4,58.6,3.284,1.015,29
7.0,8,2.5,2,1.5,274.54,-23.4,58.6,3.284,1.015,29
7.0,8,2.5,2,3.0,274.54,-23.4,58.6,3.284,1.015,29
7.0,6,2.5,2,1.5,250.69,-23.4,56.7,2.999,0.966,30
7.0,6,2.5,2,2.0,250.69,-23.4,56.7,2.999,0.966,30
7.0,6,2.5,2,2.5,250.69,-23.4,56.7,2.999,0.966,30
7.0,6,2.5,2,3.0,250.69,-23.4,56.7,2.999,0.966,30
7.0,10,2.5,1,2.0,224.85,-25.0,58.6,2.991,0.942,29
7.0,10,2.5,1,3.0,224.85,-25.0,58.6,2.991,0.942,29
7.0,10,2.5,1,2.5,224.85,-25.0,58.6,2.991,0.942,29
7.0,10,2.5,1,1.5,224.85,-25.0,58.6,2.991,0.942,29
7.0,8,2.5,1,3.0,218.24,-23.4,56.7,2.854,0.921,30
7.0,8,2.5,1,1.5,218.24,-23.4,56.7,2.854,0.921,30
7.0,8,2.5,1,2.0,218.24,-23.4,56.7,2.854,0.921,30
7.0,8,2.5,1,2.5,218.24,-23.4,56.7,2.854,0.921,30
7.0,10,2.0,2,3.0,170.85,-25.0,58.6,2.678,0.893,29
7.0,10,2.0,2,2.5,170.85,-25.0,58.6,2.678,0.893,29
7.0,10,2.0,2,2.0,170.85,-25.0,58.6,2.678,0.893,29
7.0,10,2.0,2,1.5,170.85,-25.0,58.6,2.678,0.893,29
7.0,8,2.0,2,3.0,165.54,-23.4,56.7,2.56,0.87,30
7.0,8,2.0,2,2.5,165.54,-23.4,56.7,2.56,0.87,30
7.0,8,2.0,2,2.0,165.54,-23.4,56.7,2.56,0.87,30
7.0,8,2.0,2,1.5,165.54,-23.4,56.7,2.56,0.87,30
7.0,10,4.0,2,2.5,161.61,-25.0,50.0,2.681,0.715,26
7.0,10,4.0,2,2.0,161.61,-25.0,50.0,2.681,0.715,26
7.0,10,4.0,2,3.0,161.61,-25.0,50.0,2.681,0.715,26
7.0,10,4.0,2,1.5,161.61,-25.0,50.0,2.681,0.715,26
7.0,8,4.0,2,2.5,156.28,-23.4,48.1,2.565,0.699,27
7.0,8,4.0,2,1.5,156.28,-23.4,48.1,2.565,0.699,27
7.0,6,4.0,2,3.0,156.28,-23.4,48.1,2.565,0.699,27
7.0,6,4.0,2,2.5,156.28,-23.4,48.1,2.565,0.699,27
7.0,6,4.0,2,2.0,156.28,-23.4,48.1,2.565,0.699,27
7.0,6,4.0,2,1.5,156.28,-23.4,48.1,2.565,0.699,27
7.0,8,4.0,2,3.0,156.28,-23.4,48.1,2.565,0.699,27
7.0,8,4.0,2,2.0,156.28,-23.4,48.1,2.565,0.699,27
7.0,6,2.0,2,2.5,148.63,-23.4,54.8,2.356,0.813,31
7.0,6,2.0,2,3.0,148.63,-23.4,54.8,2.356,0.813,31
7.0,6,2.0,2,1.5,148.63,-23.4,54.8,2.356,0.813,31
7.0,6,2.0,2,2.0,148.63,-23.4,54.8,2.356,0.813,31
7.0,6,4.0,1,1.5,147.59,-22.85,53.3,2.352,0.674,30
7.0,6,4.0,1,2.0,147.59,-22.85,53.3,2.352,0.674,30
7.0,6,4.0,1,3.0,147.59,-22.85,53.3,2.352,0.674,30
7.0,6,4.0,1,2.5,147.59,-22.85,53.3,2.352,0.674,30
7.0,10,2.0,1,3.0,136.31,-25.0,56.7,2.351,0.795,30
7.0,10,2.0,1,2.0,136.31,-25.0,56.7,2.351,0.795,30
7.0,10,2.0,1,1.5,136.31,-25.0,56.7,2.351,0.795,30
7.0,10,2.0,1,2.5,136.31,-25.0,56.7,2.351,0.795,30
7.0,6,2.5,1,3.0,134.28,-23.4,52.9,2.134,0.715,34
7.0,6,2.5,1,2.5,134.28,-23.4,52.9,2.134,0.715,34
