min_size_pct,min_bars_in,rr_ratio,risk_per_trade,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital
7.0,10,2.5,0.2,1860.53,61.34,0.942,0.162,-64.47,0.951,58.62,2.99,29,196052.76
7.0,8,2.5,0.2,1687.39,58.96,0.921,0.158,-61.78,0.954,56.67,2.854,30,178738.56
7.0,10,2.5,0.15,1080.25,48.7,0.942,0.162,-52.96,0.919,58.62,2.99,29,118025.29
7.0,8,2.5,0.15,1008.47,47.21,0.921,0.158,-50.36,0.937,56.67,2.854,30,110846.9
7.0,10,4.0,0.2,959.26,46.14,0.755,0.144,-50.85,0.907,53.85,2.842,26,105925.68
7.0,10,3.0,0.2,822.05,42.91,0.781,0.129,-54.92,0.781,55.56,2.682,27,92204.52
7.0,8,4.0,0.2,797.87,42.3,0.725,0.138,-50.85,0.832,51.85,2.633,27,89787.47
7.0,8,3.0,0.2,740.62,40.8,0.761,0.124,-51.52,0.792,53.57,2.557,28,84061.57
7.0,10,2.0,0.2,705.62,39.85,0.795,0.12,-64.47,0.618,56.67,2.351,30,80561.83
7.0,10,4.0,0.15,656.33,38.43,0.755,0.144,-40.37,0.952,53.85,2.842,26,75633.5
7.0,8,2.0,0.2,636.12,37.83,0.772,0.116,-61.78,0.612,54.84,2.259,31,73612.39
7.0,8,4.0,0.15,573.02,35.86,0.725,0.138,-40.37,0.888,51.85,2.633,27,67302.41
7.0,6,4.0,0.2,571.19,35.8,0.674,0.126,-64.42,0.556,53.33,2.352,30,67119.22
7.0,10,3.0,0.15,551.97,35.17,0.781,0.129,-44.08,0.798,55.56,2.682,27,65196.59
7.0,6,2.5,0.2,547.62,35.02,0.715,0.117,-61.78,0.567,52.94,2.134,34,64761.69
7.0,6,3.0,0.2,528.39,34.37,0.699,0.112,-51.52,0.667,54.84,2.267,31,62838.91
7.0,10,2.5,0.1,514.59,33.89,0.942,0.162,-38.7,0.876,58.62,2.991,29,61458.85
7.0,8,3.0,0.15,512.31,33.81,0.761,0.124,-40.98,0.825,53.57,2.557,28,61231.28
7.0,10,1.5,0.2,500.45,33.39,0.766,0.104,-64.47,0.518,57.58,2.132,33,60044.82
7.0,8,2.5,0.1,491.91,33.09,0.921,0.158,-36.48,0.907,56.67,2.854,30,59191.2
