adx_threshold,swing_period,cooldown_bars,min_vwap_dist_pct,pos_frac_cap,ema_filter,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,total_trades,final_capital,sl_rate_pct
30,200,20,0.005,0.25,True,0.53,0.09,0.043,0.011,-13.05,0.007,36.46,1.081,96,10053.42,62.5
35,100,30,0.005,0.25,True,-2.63,-0.43,-0.075,-0.014,-11.01,-0.039,39.39,1.007,66,9737.33,60.61
30,200,10,0.005,0.25,True,-4.36,-0.72,-0.085,-0.022,-13.21,-0.054,35.09,1.01,114,9564.22,64.04
30,200,20,0.005,0.2,True,-3.8,-0.62,-0.101,-0.024,-13.22,-0.047,36.46,0.995,96,9620.41,62.5
30,200,30,0.005,0.25,True,-5.27,-0.87,-0.149,-0.033,-14.16,-0.061,35.37,0.968,82,9473.32,62.2
25,50,20,0.005,0.25,True,-8.42,-1.41,-0.166,-0.051,-18.74,-0.075,35.22,0.984,159,9157.76,64.78
35,200,30,0.005,0.25,True,-5.49,-0.91,-0.196,-0.034,-11.41,-0.079,35.71,0.917,56,9450.93,64.29
30,200,10,0.005,0.2,True,-8.37,-1.4,-0.234,-0.059,-15.05,-0.093,35.09,0.932,114,9163.47,64.04
35,100,30,0.005,0.2,True,-6.37,-1.06,-0.264,-0.046,-10.61,-0.099,39.39,0.887,66,9362.81,60.61
25,200,20,0.005,0.25,True,-11.22,-1.9,-0.28,-0.074,-22.49,-0.084,36.22,0.924,127,8878.06,63.78
30,200,30,0.005,0.2,True,-8.73,-1.46,-0.326,-0.067,-14.56,-0.1,35.37,0.868,82,9126.88,62.2
35,200,30,0.005,0.2,True,-7.7,-1.28,-0.339,-0.055,-10.88,-0.118,35.71,0.824,56,9229.86,64.29
30,200,10,0.002,0.25,True,-13.81,-2.37,-0.342,-0.095,-24.04,-0.098,32.56,0.895,129,8619.29,65.89
30,200,20,0.005,0.15,True,-8.72,-1.46,-0.35,-0.077,-14.81,-0.099,36.46,0.861,96,9127.9,62.5
30,100,30,0.005,0.25,True,-11.57,-1.96,-0.36,-0.079,-19.52,-0.1,34.07,0.865,91,8842.67,65.93
35,200,20,0.005,0.25,True,-10.6,-1.79,-0.366,-0.071,-15.04,-0.119,32.86,0.833,70,8939.65,67.14
35,50,30,0.005,0.25,True,-10.17,-1.71,-0.366,-0.07,-17.44,-0.098,33.8,0.84,71,8983.25,64.79
